Fea001|Fea002|Fea003|Fea004|Fea005|Fea006|Fea007|Fea008|Fea009|Fea010|Fea011|Fea012|Mem1|Mem2
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.847664
0|0|52|35|53|35|51|35|2|1|104|35|17.225361|11.286067999999998
0|0|51|35|51|35|51|35|1|1|51|35|17.225361|11.286067999999998
0|0|51|35|51|35|51|35|1|1|51|35|17.225361|11.286067999999998
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221165|10.84671
0|0|51|35|51|35|51|35|1|1|51|35|17.221069|10.866928
0|0|51|35|51|35|51|35|5|5|255|175|17.219542999999998|11.291504
0|0|51|35|51|35|51|35|5|5|255|175|17.219542999999998|11.291504
0|0|51|35|51|35|51|35|5|5|255|175|17.219542999999998|11.291504
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.224884|11.120796
0|0|51|35|51|35|51|35|5|5|255|175|17.219734|11.304665
0|0|51|35|51|35|51|35|5|5|255|175|17.219734|11.304665
0|0|51|35|51|35|51|35|5|5|255|175|17.219734|11.304665
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.227936|11.119175
0|0|51|35|51|35|51|35|5|5|255|175|17.225838|11.306189999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.225838|11.306189999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.225838|11.306189999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.225265|11.128759
0|0|51|35|51|35|51|35|5|5|255|175|17.226791|11.310005
0|0|51|35|51|35|51|35|5|5|255|175|17.226791|11.310005
0|0|51|35|51|35|51|35|5|5|255|175|17.226791|11.310005
0|0|51|35|51|35|51|35|5|5|255|175|17.219973|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.219973|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.219973|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.227936|11.120796
0|0|51|35|51|35|51|35|5|5|255|175|17.226982|11.321545
0|0|51|35|51|35|51|35|5|5|255|175|17.226982|11.321545
0|0|51|35|51|35|51|35|5|5|255|175|17.226982|11.321545
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.222023|11.107826
0|0|51|35|51|35|51|35|5|5|255|175|17.227364|11.327266999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.227364|11.327266999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.227364|11.327266999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.230797|11.003828
0|0|51|35|51|35|51|35|5|5|255|175|17.228317|11.326599
0|0|51|35|51|35|51|35|5|5|255|175|17.228317|11.326599
0|0|51|35|51|35|51|35|5|5|255|175|17.228317|11.326599
0|0|51|35|51|35|51|35|5|5|255|175|17.223357999999998|11.087131
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.219734|11.297703
0|0|51|35|51|35|51|35|5|5|255|175|17.233276|11.342286999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.233276|11.342286999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.233276|11.342286999999999
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.219542999999998|11.167908
0|0|51|35|51|35|51|35|5|5|255|175|17.230605999999998|11.365317999999998
0|0|51|35|51|35|51|35|5|5|255|175|17.230605999999998|11.365317999999998
0|0|51|35|51|35|51|35|5|5|255|175|17.230605999999998|11.365317999999998
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.227936|11.119175
0|0|51|35|51|35|51|35|5|5|255|175|17.230415|11.365223
1821823|1780800|51|35|51|35|51|35|5|5|255|175|17.230415|11.365223
0|0|51|35|51|35|51|35|5|5|255|175|17.230415|11.365223
0|0|51|35|51|35|51|35|5|5|255|175|17.230415|11.365223
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.225838|11.305428
0|0|51|35|51|35|51|35|5|5|255|175|17.240334|11.361265
0|0|51|35|51|35|51|35|5|5|255|175|17.240334|11.361265
0|0|51|35|51|35|51|35|5|5|255|175|17.240334|11.361265
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.219542999999998|11.141396
